scaling,ProbabilityWeight,prefix,PointProbability,filename
1,1.0,1,1.0,synDataWind_0.csv
1,1.0,2,1.0,synDataWind_1.csv
1,1.0,3,1.0,synDataWind_2.csv
1,1.0,4,1.0,synDataWind_3.csv
1,1.0,5,1.0,synDataWind_4.csv
1,1.0,6,1.0,synDataWind_5.csv
1,1.0,7,1.0,synDataWind_6.csv
1,1.0,8,1.0,synDataWind_7.csv
1,1.0,9,1.0,synDataWind_8.csv
1,1.0,10,1.0,synDataWind_9.csv
1,1.0,11,1.0,synDataWind_10.csv
1,1.0,12,1.0,synDataWind_11.csv
1,1.0,13,1.0,synDataWind_12.csv
1,1.0,14,1.0,synDataWind_13.csv
1,1.0,15,1.0,synDataWind_14.csv
1,1.0,16,1.0,synDataWind_15.csv
1,1.0,17,1.0,synDataWind_16.csv
1,1.0,18,1.0,synDataWind_17.csv
1,1.0,19,1.0,synDataWind_18.csv
1,1.0,20,1.0,synDataWind_19.csv
1,1.0,21,1.0,synDataWind_20.csv
1,1.0,22,1.0,synDataWind_21.csv
1,1.0,23,1.0,synDataWind_22.csv
1,1.0,24,1.0,synDataWind_23.csv
1,1.0,25,1.0,synDataWind_24.csv
1,1.0,26,1.0,synDataWind_25.csv
1,1.0,27,1.0,synDataWind_26.csv
1,1.0,28,1.0,synDataWind_27.csv
1,1.0,29,1.0,synDataWind_28.csv
1,1.0,30,1.0,synDataWind_29.csv
1,1.0,31,1.0,synDataWind_30.csv
1,1.0,32,1.0,synDataWind_31.csv
1,1.0,33,1.0,synDataWind_32.csv
1,1.0,34,1.0,synDataWind_33.csv
1,1.0,35,1.0,synDataWind_34.csv
1,1.0,36,1.0,synDataWind_35.csv
1,1.0,37,1.0,synDataWind_36.csv
1,1.0,38,1.0,synDataWind_37.csv
1,1.0,39,1.0,synDataWind_38.csv
1,1.0,40,1.0,synDataWind_39.csv
1,1.0,41,1.0,synDataWind_40.csv
1,1.0,42,1.0,synDataWind_41.csv
1,1.0,43,1.0,synDataWind_42.csv
1,1.0,44,1.0,synDataWind_43.csv
1,1.0,45,1.0,synDataWind_44.csv
1,1.0,46,1.0,synDataWind_45.csv
1,1.0,47,1.0,synDataWind_46.csv
1,1.0,48,1.0,synDataWind_47.csv
1,1.0,49,1.0,synDataWind_48.csv
1,1.0,50,1.0,synDataWind_49.csv
1,1.0,51,1.0,synDataWind_50.csv
1,1.0,52,1.0,synDataWind_51.csv
1,1.0,53,1.0,synDataWind_52.csv
1,1.0,54,1.0,synDataWind_53.csv
1,1.0,55,1.0,synDataWind_54.csv
1,1.0,56,1.0,synDataWind_55.csv
1,1.0,57,1.0,synDataWind_56.csv
1,1.0,58,1.0,synDataWind_57.csv
1,1.0,59,1.0,synDataWind_58.csv
1,1.0,60,1.0,synDataWind_59.csv
1,1.0,61,1.0,synDataWind_60.csv
1,1.0,62,1.0,synDataWind_61.csv
1,1.0,63,1.0,synDataWind_62.csv
1,1.0,64,1.0,synDataWind_63.csv
1,1.0,65,1.0,synDataWind_64.csv
1,1.0,66,1.0,synDataWind_65.csv
1,1.0,67,1.0,synDataWind_66.csv
1,1.0,68,1.0,synDataWind_67.csv
1,1.0,69,1.0,synDataWind_68.csv
1,1.0,70,1.0,synDataWind_69.csv
1,1.0,71,1.0,synDataWind_70.csv
1,1.0,72,1.0,synDataWind_71.csv
1,1.0,73,1.0,synDataWind_72.csv
1,1.0,74,1.0,synDataWind_73.csv
1,1.0,75,1.0,synDataWind_74.csv
1,1.0,76,1.0,synDataWind_75.csv
1,1.0,77,1.0,synDataWind_76.csv
1,1.0,78,1.0,synDataWind_77.csv
1,1.0,79,1.0,synDataWind_78.csv
1,1.0,80,1.0,synDataWind_79.csv
1,1.0,81,1.0,synDataWind_80.csv
1,1.0,82,1.0,synDataWind_81.csv
1,1.0,83,1.0,synDataWind_82.csv
1,1.0,84,1.0,synDataWind_83.csv
1,1.0,85,1.0,synDataWind_84.csv
1,1.0,86,1.0,synDataWind_85.csv
1,1.0,87,1.0,synDataWind_86.csv
1,1.0,88,1.0,synDataWind_87.csv
1,1.0,89,1.0,synDataWind_88.csv
1,1.0,90,1.0,synDataWind_89.csv
1,1.0,91,1.0,synDataWind_90.csv
1,1.0,92,1.0,synDataWind_91.csv
1,1.0,93,1.0,synDataWind_92.csv
1,1.0,94,1.0,synDataWind_93.csv
1,1.0,95,1.0,synDataWind_94.csv
1,1.0,96,1.0,synDataWind_95.csv
1,1.0,97,1.0,synDataWind_96.csv
1,1.0,98,1.0,synDataWind_97.csv
1,1.0,99,1.0,synDataWind_98.csv
1,1.0,100,1.0,synDataWind_99.csv
